,CMU1,CUBoulder1,Amherst1,UChicago1,Princeton1,ND1,Cornell2,Baruch1,Harvard1,UCBerkeley1,StBon1,UChicago3,Indiana1,Iowa1,UChicago4,ND2,Dartmouth2,UChicago5,Columbia1,CMU2,Amherst2
1259,-0.000204251,-0.000325706,-1.10E-05,3.09E-05,3.82E-05,-0.000118263,-3.49E-05,-0.000126597,-8.72E-05,-3.58E-05,-7.65E-05,9.52E-05,0.000944826,9.93E-05,9.91E-05,-0.000184289,-9.66E-05,0,-0.000112746,-0.000110187,-1.03E-05
1260,0.000189848,8.64E-05,0.000104085,0.000110513,-0.000112838,1.35E-05,0.000120925,7.65E-05,0.000110923,-2.65E-05,5.05E-06,-0.000144072,0.00019805,0.00022854,1.29E-05,9.18E-05,-3.46E-05,0,2.47E-06,-0.000276041,0.000111967
1261,7.24E-05,7.04E-05,-7.13E-05,6.20E-05,0.000153769,0.000202209,-8.81E-05,-3.39E-05,-0.000106336,7.64E-05,0.000172172,-0.000126328,2.54E-05,5.88E-06,1.34E-05,0.000137582,8.73E-05,0,1.87E-06,0.000152239,-9.85E-05
1262,0.000228204,0.000132241,-0.000110166,-7.70E-06,8.22E-05,-9.30E-05,-0.000148435,4.29E-05,-0.000115059,4.29E-06,-2.30E-05,-8.57E-05,-5.43E-05,-4.13E-05,-6.53E-05,-0.000121228,-0.000118925,0,0.000138927,2.09E-05,-0.000122501
1263,-0.00018274,0.000327436,-5.68E-05,0.000318175,0.000297177,0.000295119,-5.49E-05,-3.74E-05,5.07E-05,0.000256786,0.000292306,0.000106063,6.44E-05,-0.000334492,0.000183585,0.000191279,0.000385887,0,0.000397868,-0.00011763,-5.94E-05
1264,-6.11E-05,-0.000309018,0.000206886,6.77E-05,-0.000132128,4.31E-05,8.33E-05,0.0001005,0.000117598,0.000109291,2.23E-05,-0.000250937,-0.000471155,4.16E-05,-0.00017068,0.000209992,8.04E-05,0,7.67E-05,-0.000142373,0.000158867
1265,8.97E-05,-0.000389355,-5.33E-05,1.44E-05,0.000125921,0.000107947,-3.72E-05,7.84E-05,-1.12E-05,4.46E-05,4.34E-05,-0.000230714,0.000197278,7.63E-05,7.92E-05,-2.32E-05,8.93E-05,0,-1.89E-05,1.08E-05,-1.20E-05
1266,0.000144694,0.000163073,2.89E-05,-0.000150885,-0.000139753,-7.63E-05,2.94E-06,2.18E-05,-4.82E-05,-8.89E-05,-5.35E-05,0.000173986,0.000424812,-9.92E-05,7.68E-05,-0.000141123,-2.47E-05,0,-4.43E-06,3.66E-05,5.44E-05
1267,3.57E-05,-0.000482131,1.56E-05,-9.66E-05,0.000145572,0.000125796,1.66E-05,0.00015242,6.64E-05,5.04E-05,3.52E-05,-0.000134885,0.000644839,1.82E-05,0.000113884,5.13E-05,0.00011908,0,0.000134307,0.000286252,1.42E-05
1268,4.24E-05,-0.00061053,-0.000174346,-9.76E-05,-0.000110214,-5.36E-05,-9.48E-05,-7.95E-05,-9.14E-05,-3.27E-05,3.70E-05,-7.41E-08,-0.000274848,-0.000191047,-2.62E-05,-0.000149238,-7.86E-05,0,-3.18E-06,-9.82E-05,-0.000163797
1269,8.13E-05,-0.000167287,0.000143853,2.52E-05,-0.000116598,-0.000105861,0.000217619,0.000320795,0.000228751,2.63E-05,-0.000165264,2.99E-05,2.67E-05,-0.000150597,-0.000141286,0.000119141,-2.16E-05,0,3.85E-05,-0.000168263,0.000162503
1270,-2.96E-05,-0.000419281,7.14E-05,-0.000236166,-0.000130575,-0.000217374,3.77E-05,-0.000203652,-4.98E-05,-0.000127881,-0.000217724,-0.000169788,-0.000624336,0.000226259,-5.03E-05,-0.000107409,-0.00033037,0,-0.000277218,0.000354103,9.62E-05
1271,-1.06E-05,0.000122655,8.49E-05,-1.14E-05,-2.32E-05,0.000103199,7.69E-05,-0.000122737,6.16E-05,-3.85E-05,4.27E-05,-3.27E-05,0.000695253,-0.000190514,0.000130603,-1.07E-05,1.51E-05,0,8.74E-05,0.001243321,9.59E-05
1272,3.50E-05,-0.000477805,-0.000111433,0.000188805,0.000135721,-1.80E-05,-0.000115666,7.23E-05,-5.91E-05,0.000162325,3.27E-05,2.13E-05,0.000642213,3.18E-05,-0.00011789,6.12E-05,6.28E-05,0,0.000361935,-0.000565443,-0.000112274
1273,6.41E-05,-0.000374332,-9.77E-05,-1.99E-06,0.000239055,0.000165127,-6.91E-05,-8.24E-05,-3.79E-05,7.85E-06,0.000203776,-1.99E-05,-0.00020898,-0.000295888,0.000124703,3.48E-05,-7.14E-05,0,6.55E-05,0.000390901,-0.000104763
1274,2.98E-05,-0.000258988,0.00012075,-9.75E-05,0.000262716,8.78E-05,0.000134869,1.63E-05,0.000174788,5.77E-05,-7.25E-05,3.52E-05,-0.000560301,4.81E-05,-0.000100603,0.000126756,0.0001224,0,-5.13E-05,-0.000423513,0.000144637
1275,-5.09E-05,0.000678932,-6.08E-05,6.26E-06,0.000161621,-8.70E-06,-0.000104359,-0.000231553,-9.09E-05,9.99E-05,9.31E-05,-2.97E-05,0.000555724,0.000134434,-7.21E-06,-1.95E-05,3.15E-05,0,0.000118776,0.00010855,-5.96E-05
1276,-4.72E-05,0.000665186,0.000159697,-1.39E-05,0.00030405,8.83E-06,0.000161888,2.31E-05,0.000161675,-2.22E-05,-4.77E-06,0.000245988,-5.50E-05,-0.000102196,5.55E-05,-2.09E-07,3.55E-05,0,6.72E-05,-0.000114849,0.000170045
1277,4.31E-06,-0.000457126,-0.000214397,-0.000175534,-0.000115425,6.23E-05,-0.000120036,-0.000315219,-0.000157917,-2.09E-05,5.40E-05,9.32E-05,0.00019453,0.000132632,0.000159514,3.30E-06,-1.88E-05,0,-0.000136033,-0.000207115,-0.000216323
